_id,name,asset_type,location_id,street_address,city,latitude,longitude
35247907,TARENTUM SENIOR HOUSING aka Daltons Edge,affordable_housing,2282.0,700 2nd Ave,Tarentum,40.603461,-79.7454215
35247908,SWISSVALE TOWERS,affordable_housing,2247.0,1826 Monongahela Ave,Pittsburgh,40.4222582212,-79.8906437112
35247909,SWEETBRIAR PLACE,affordable_housing,2246.0,211 Sweetbriar St,Pittsburgh,40.4379147316,-80.0217351115
35247910,SUSQUEHANNA HOMES,affordable_housing,2245.0,7235 Tioga Street,Pittsburgh,40.4537542481,-79.8963268782
35247911,STO-ROX PLAZA,affordable_housing,2244.0,731 Chartiers Ave,Pittsburgh,40.441914,-80.038494
35247912,American Serbian Club,community_nonprofit_orgs,374.0,2524 SARAH ST,PITTSBURGH,40.426468,-79.969303
35247913,"Christ United Methodist Church, Bethel Park",community_nonprofit_orgs,231.0,44 HIGHLAND RD,BETHEL PARK,40.348504,-80.048385
35247914,Community Kitchen Pittsburgh (Hazelwood),community_nonprofit_orgs,254.0,107 FLOWERS AVE,PITTSBURGH,40.410187,-79.943718
35247915,Crescent Township Volunteer Fire Department,community_nonprofit_orgs,146.0,79 MCGOVERN BLVD,CRESCENT,40.556081,-80.221063
35247916,Economy Volunteer Fire Department 1 Station 69,community_nonprofit_orgs,368.0,3308 CONWAY WALLROSE RD,ECONOMY,40.632601,-80.160665
35247917,Harrington's,community_nonprofit_orgs,327.0,717 ROBINSON HWY,MC DONALD,40.381131,-80.261538
35247918,"Holy Redeemer, Ellwood City - Takeout-only pizza and pierogie sale",community_nonprofit_orgs,318.0,311 LAWRENCE AVE,ELLWOOD CITY,40.870378,-80.283785
35247919,"Immaculate Conception, Washington",community_nonprofit_orgs,250.0,119 W CHESTNUT ST,WASHINGTON,40.172023,-80.248403
35247920,Keith Heinritz Katering,community_nonprofit_orgs,292.0,209 BRINTON AVE,TRAFFORD,40.382784,-79.762428
35247921,Mount St. Peter,community_nonprofit_orgs,257.0,100 FREEPORT RD,NEW KENSINGTON,40.563602,-79.761143
35247922,New Alexandria Volunteer Fire Department,community_nonprofit_orgs,298.0,8370 STATE ROUTE 22,NEW ALEXANDRIA,40.401498,-79.415829
35247923,MANATAWNY MANOR,nursing_homes,4147.0,30 OLD SCHUYLKILL ROAD,POTTSTOWN,40.225984,-75.623054
35247924,MAJESTIC OAKS REHAB & NURSING CENTER,nursing_homes,3901.0,333 NEWTOWN ROAD,WARMINSTER,40.18542,-75.076888
35247925,STEELWORKERS TOWER,affordable_housing,2243.0,2639 Perrysville Ave,Pittsburgh,40.471722,-80.010459
35247926,STATE MANOR APTS,affordable_housing,2064.0,1020 State Ave,Coraopolis,40.517031993,-80.1646006008
35247927,ST THERESE PLAZA,affordable_housing,2116.0,4 St Therese Ct,Homestead,40.387815934,-79.901859038
35247928,ST JUSTIN PLAZA,affordable_housing,2242.0,120 Boggs Ave,Pittsburgh,40.4266999637,-80.0068795237
35247929,MARIAN PLAZA,affordable_housing,2209.0,8601 Bricelyn St,Pittsburgh,40.4589114888,-79.8737273109
35247930,"Queen of the Rosary, Glassport",community_nonprofit_orgs,227.0,530 MICHIGAN AVE,GLASSPORT,40.327075,-79.890492
35247931,"Riverview Church, on Pittsburgh's North Side",community_nonprofit_orgs,317.0,3505 PERRYSVILLE AVE,PITTSBURGH,40.484124,-80.014374
35247932,"Sacred Heart Church of  Immaculate Conception Parish, Claysville",community_nonprofit_orgs,323.0,RT 40 AND S,CLAYSVILLE,40.116334,-80.415484
35247933,St. Bernadette (Monroeville),community_nonprofit_orgs,367.0,245 AZALEA DR,MONROEVILLE,40.441257,-79.771866
35247934,St. Iranaeus,community_nonprofit_orgs,288.0,387 MARYLAND AVE,OAKMONT,40.519276,-79.841161
35247935,St. Joseph (Coraopolis),community_nonprofit_orgs,236.0,1313 5TH AVE,CORAOPOLIS,40.515674,-80.15899
35247936,St. Mary Parish,community_nonprofit_orgs,372.0,10 SAINT MARYS LN,CECIL,40.328668,-80.184821
35247937,Armstrong Playground (Play Area 5 to 12),parks_and_facilities,9412.0,Carson St,Pittsburgh,40.42821987,-79.98613126
35247938,MANORCARE HEALTH SERVICES - WEST ALLEN,nursing_homes,4110.0,535 NORTH 17TH STREET,ALLENTOWN,40.604804,-75.495493
35247939,MANORCARE HEALTH SERVICES - WALLINGFORD,nursing_homes,3958.0,115 SOUTH PROVIDENCE ROAD,WALLINGFORD,39.897344,-75.373214
35247940,MANOR AT SUSQUEHANNA VILLAGE,nursing_homes,3751.0,990 MEDICAL ROAD,MILLERSBURG,40.551645,-76.9513
35247941,MANOR AT PERRY VILLAGE,nursing_homes,3754.0,213 EAST MAIN STREET,NEW BLOOMFIELD,40.421128,-77.179457
35247942,MANOR AT PENN VILLAGE,nursing_homes,4069.0,51 ROUTE 204,SELINSGROVE,40.810291,-76.867446
35247943,Fineview Playground (Whirl),parks_and_facilities,88446.0,63 Edenvale St,Pittsburgh,40.46189553,-80.00356468
35247944,MANCHESTER PHASE III,affordable_housing,2207.0,1100 & 1111 Sheffield St,Pittsburgh,40.453869867,-80.0215606311
35247945,MANCHESTER HOPE,affordable_housing,2205.0,Scattered Sites,Pittsburgh,40.458327,-80.0287685
35247946,LEXINGTON MANOR,affordable_housing,2075.0,300 Lexington Ct,Imperial,40.4454435041,-80.2619414798
35247947,Frick Beechwood Playground (Swing 2 Bays),parks_and_facilities,9468.0,2515 Beechwood Blvd,Pittsburgh,40.4300101,-79.91515805
35247948,Grandview Playground (Swing 2 Bays),parks_and_facilities,88474.0,745 McLain St,Pittsburgh,40.42487439,-79.99406145
35247949,Lincoln Place Playground (Play Area 2 to 5),parks_and_facilities,88526.0,5375 Cox Ave,Pittsburgh,40.37002022,-79.91737758
35247950,Marmaduke Playground (Play Area 2 to 5),parks_and_facilities,9319.0,1820 Marmaduke St,Pittsburgh,40.48417911,-80.04243448
35247951,Marmaduke Playground (Spring Toy - Turtle),parks_and_facilities,9317.0,3827 Bonaventure Way,Pittsburgh,40.48434776,-80.04241546
35247952,Mutual Playground (Play Area 5 to 12),parks_and_facilities,88574.0,Mutual St,Pittsburgh,40.45221297,-80.063946
35247953,Robert E. WIlliams Playground (Spring Toy - Fire Truck),parks_and_facilities,88650.0,3500 Milwaukee St,Pittsburgh,40.45450605,-79.95975344
35247954,Schenley Anderson Playground (Slide),parks_and_facilities,88661.0,Panther Hollow Rd,Pittsburgh,40.43562247,-79.94752293
35247955,Sheraden Upper Playground (Play Area 2 to 5),parks_and_facilities,9431.0,3105 Ashlyn St,Pittsburgh,40.45580262,-80.05729057
35247956,Sue Murray Playground (Spring Toy - Seat),parks_and_facilities,88690.0,413 Cedar Ave,Pittsburgh,40.45162795,-80.00150071
35247957,MANORCARE HEALTH SERVICES KING OF PRUSSI,nursing_homes,3885.0,600 WEST VALLEY FORGE ROAD,KING OF PRUSSIA,40.103801,-75.393468
35247958,MANORCARE HEALTH SERVICES JERSEY SHORE,nursing_homes,3780.0,1008 THOMPSON STREET,JERSEY SHORE,41.201828,-77.267556
35247959,MANORCARE HEALTH SERVICES HUNTINGDON VAL,nursing_homes,3908.0,3430 HUNTINGDON PIKE,HUNTINGDON VALLEY,40.14822,-75.059988
35247960,MANORCARE HEALTH SERVICES GREENTREE,nursing_homes,3521.0,1848 GREENTREE ROAD,PITTSBURGH,40.397409,-80.067816
35247961,MANORCARE HEALTH SERVICES ERIE,nursing_homes,3679.0,3805 FIELD STREET,ERIE,42.14741,-80.014931
35247962,MANORCARE HEALTH SERVICES ELIZABETHTOWN,nursing_homes,3733.0,320 SOUTH MARKET STREET,ELIZABETHTOWN,40.147433,-76.603613
35247963,PAVILION AT SAINT LUKE VILLAGE,nursing_homes,4115.0,1000 STACIE DRIVE,HAZLETON,40.943127,-75.950939
35247964,MANORCARE HEALTH SERVICES DALLASTOWN,nursing_homes,3819.0,100 WEST QUEEN STREET,DALLASTOWN,39.898709,-76.646333
35247965,MANORCARE HEALTH SERVICES CHAMBERSBURG,nursing_homes,3809.0,1070 STOUFFER AVENUE,CHAMBERSBURG,39.916061,-77.649052
35247966,MANORCARE HEALTH SERVICES CARLISLE,nursing_homes,3728.0,940 WALNUT BOTTOM ROAD,CARLISLE,40.183968,-77.21182
35247967,MANORCARE HEALTH SERVICES CAMP HILL,nursing_homes,3718.0,1700 MARKET STREET,CAMP HILL,40.240473,-76.913041
35247968,MANORCARE HEALTH SERVICES BETHLEHEM 2029,nursing_homes,4086.0,2029 WESTGATE DRIVE,BETHLEHEM,40.640291,-75.408413
35247969,MANORCARE HEALTH SERVICES BETHLEHEM 2021,nursing_homes,4085.0,2021 WESTGATE DRIVE,BETHLEHEM,40.639828,-75.40823
35247970,MANORCARE HEALTH SERVICES BETHEL PARK,nursing_homes,3488.0,60 HIGHLAND ROAD,BETHEL PARK,40.348701,-80.046116
35247971,Westinghouse Playground (Swing 2 Bays),parks_and_facilities,88750.0,398 N Murtland St,Pittsburgh,40.45290843,-79.90333692
35247972,LEO MEYER MANOR,affordable_housing,2094.0,1015 Church Ave,Mc Kees Rocks,40.4643110594,-80.0663955574
35247973,LEETSDALE HIRISE,affordable_housing,2091.0,27 Spencer St,Leetsdale,40.564989,-80.2074195
35247974,LEECHBURG GARDENS APTS,affordable_housing,2290.0,1803 Garden Dr,Verona,40.4886004668,-79.8013647752
35247975,LAVENDER HEIGHTS II,affordable_housing,2130.0,412 Lavender Heights Ct,Pittsburgh,40.4790675276,-79.7809396691
35247976,Brittini R Wright LLC DBA Wright Childcare Solutions,schools,8474.0,437 Turrett Street,Pittsburgh,40.462063,-79.909797
35247977,Community Specialists Corporation DBA The Academy,schools,8622.0,900 Agnew Rd,Pittsburgh,40.399366,-79.968168
35247978,I Have A Dream Foundation,schools,8932.0,"Carnegie Mellon Univ, 218 N Highland Ave  2nd FL",Pittsburgh,40.463075,-79.92412
35247979,Kingdom Life Fellowhsip Pittsburgh DBA Haven House,schools,8407.0,148 Jucunda Street,Pittsburgh,40.41733,-79.990413
35247980,Linda Grinage DBA Blessed Assurance Christian Child Care,schools,3113.0,230 Third Avenue,Rankin,40.4121826480788,-79.8800755797489
35247981,Methodist Union of Social Agencies,schools,8839.0,120 E 9th Ave,Homestead,40.405857,-79.91087
35247982,Pennsylvania Women Work,schools,8864.0,"Chamber of Commerce Building, 411 Seventh Ave., Suite 925",Pittsburgh,40.442682,-79.996425
35247983,Plea Development Preschool,schools,9002.0,733 South Ave,Pittsburgh,40.441495,-79.883881
35247984,Ruth Jean Hamilton Child Develoment Center,schools,8419.0,1403 Lincoln Avenue,Pittsburgh,40.468003,-79.896901
35247985,Shining Stars Creative Childcare & Learning Center,schools,8446.0,904 Wood Street,Wilkinsburg,40.443133,-79.885107
35247986,Young Men's Christian Association,schools,9214.0,128 East Pittsburgh Street,Greensburg,40.303025,-79.541305
35247987,LAVENDER HEIGHTS I aka Penn Hills Senior Housing,affordable_housing,2129.0,100 Lavender Heights Ct,Pittsburgh,40.4774891959,-79.7830873132
35247988,LAURENTIAN HALL,affordable_housing,2202.0,5321 Penn Ave,Pittsburgh,40.464945,-79.937838
35247989,LARIMER PHASE 1,affordable_housing,2201.0,Scattered Sites,Pittsburgh,40.464951,-79.915148
35247990,LARIMER EAST LIBERTY PH 1,affordable_housing,2200.0,Scattered Sites,Pittsburgh,40.4680043,-79.9111732
35247991,LAMBETH APTS,affordable_housing,2199.0,4003 Penn Ave,Pittsburgh,40.4652934941,-79.9573900963
35247992,KELLY-HAMILTON,affordable_housing,2198.0,7301 Kelly St,Pittsburgh,40.455171,-79.894701
35247993,Immaculate Conception Church /of Immaculate Conception Parish,faith-based_facilities,88804.0,,,40.172039,-80.2490234
35247994,Holy Ghost,faith-based_facilities,88786.0,,,40.4669304,-80.0319824
35247995,HOLLIDAY MEMORIAL AFRICAN METHODIST EPISCOPAL ZION CHURCH,faith-based_facilities,2939.0,600 TALBOT AVENUE,BRADDOCK,40.4016873,-79.870061
35247996,Epiphany Church /of St. Alphonsus Parish,faith-based_facilities,88778.0,,,41.1094284,-79.9018631
35247997,Corpus Christi Church /of Saint Charles Lwanga Parish (Closed until further notice),faith-based_facilities,88775.0,,,40.4698715,-79.8940735
35247998,Beechview United Presbyterian Church,faith-based_facilities,540.0,1621 Broadway Ave,Pittsburgh,40.409686,-80.024391
35247999,VETERANS AFFAIRS PITTSBURGH HEALTH CARE SYSTEM - HEINZ DIVISION,va_facilities,3401.0,"1010 DELAFIELD ROAD, VETERANS AFFAIRS MEDICAL CENTER ASPINWALL",PITTSBURGH,40.49517,-79.88735
35248000,Oakmont Elks,community_nonprofit_orgs,260.0,106 WASHINGTON AVE,OAKMONT,40.516208,-79.847427
35248001,Allegheny Elks Lodge #339,community_nonprofit_orgs,192.0,400 CEDAR AVE,PITTSBURGH,40.451826,-80.000775
35248002,K LEROY IRVIS TOWER,affordable_housing,2197.0,715 Mercer St,Pittsburgh,40.4440197394,-79.9869677919
35248003,JUST INN TRANSITION,affordable_housing,2196.0,215 Lelia St,Pittsburgh,40.4218089836,-80.0093710269
35248004,SAINT MARK AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,2847.0,1409 MONTIER STREET,WILKINSBURG,40.4444266,-79.8747321
35248005,SAINT MARGARET OF SCOTLAND CHURCH,faith-based_facilities,2797.0,310 MANSFIELD AVENUE,PITTSBURGH,40.4225365,-80.0469146
35248006,SAINT LOUISE DE MARILLAC CHURCH,faith-based_facilities,2984.0,320 MCMURRAY ROAD,PITTSBURGH,40.3158045,-80.0717538
35248007,SAINT LAWRENCE O'TOOLE GARFIELD,faith-based_facilities,2810.0,5323 PENN AVENUE,PITTSBURGH,40.4648973,-79.9380644
35248008,SAINT JOSEPH OHARA CHURCH,faith-based_facilities,2822.0,342 DORSEYVILLE ROAD,PITTSBURGH,40.5189784,-79.9239557
35248009,SAINT JOSEPH AND SAINT JOHN VIANNEY,faith-based_facilities,2815.0,438 ORMSBY AVENUE,PITTSBURGH,40.4125499,-79.979812
35248010,SAINT JOHN VIANNEY PARISH,faith-based_facilities,2806.0,225 ALLEN STREET SAINT GEORGE,PITTSBURGH,40.4201854,-79.9934853
35248011,SAINT JOHN THE BAPTIST UKRAINIAN CATHOLIC CHURCH,faith-based_facilities,2947.0,109 SOUTH SEVENTH STREET,PITTSBURGH,40.428522,-79.9919247
35248012,SAINT JOHN THE BAPTIST CATHOLIC CHURCH,faith-based_facilities,2804.0,444 SAINT JOHN STREET,PITTSBURGH,40.4882427,-79.777165
35248013,SAINT JOHN THE BAPTIST BYZANTINE CATHOLIC CHURCH,faith-based_facilities,2755.0,1720 JANE STREET,PITTSBURGH,40.4267853,-79.9811494
35248014,SAINT JOHN THE BAPTIST BYZANTINE CATHOLIC CATHEDRAL,faith-based_facilities,2895.0,210 GREENTREE ROAD,MUNHALL,40.3821804,-79.9152046
35248015,SAINT JOHN NEUMANN CHURCH,faith-based_facilities,2826.0,2230 ROCHESTER ROAD,PITTSBURGH,40.5711409,-80.0708344
35248016,SAINT JOHN FISHER CHURCH,faith-based_facilities,2839.0,33 LEWIN LANE,PITTSBURGH,40.4352306,-79.844945
35248017,SAINT JOHN CHRYSOSTOM CHURCH,faith-based_facilities,2927.0,506 SALINE STREET,PITTSBURGH,40.427715,-79.9447724
35248018,SAINT JOHN CAPISTRAN CHURCH,faith-based_facilities,2965.0,1610 MCMILLAN ROAD,PITTSBURGH,40.3592211,-80.0725498
35248019,SAINT JOHN CANTIUS SHARPSBURG,faith-based_facilities,2782.0,220 9TH STREET MADONNA OF JERUSALEM,PITTSBURGH,40.4953861,-79.9334923
35248020,SAINT JANUARIUS CHURCH,faith-based_facilities,2748.0,1450 RENTON ROAD,PITTSBURGH,40.4996239,-79.7308349
35248021,SAINT JAMES CHURCH,faith-based_facilities,2763.0,718 FRANKLIN AVENUE,PITTSBURGH,40.4405162,-79.8850721
35248022,SAINT JAMES CHURCH,faith-based_facilities,2980.0,11524 FRANKSTOWN ROAD,PITTSBURGH,40.4635678,-79.8298158
35248023,SAINT JAMES AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,2853.0,444 LINCOLN AVENUE,PITTSBURGH,40.4607395,-79.9098145
35248024,SAINT HENRY AND SAINT JOHN VIANNEY,faith-based_facilities,2811.0,2428 ARLINGTON AVENUE,PITTSBURGH,40.4172537,-79.9721156
35248025,SAINT GEORGE UKRAINIAN CHURCH,faith-based_facilities,2753.0,3455 CALIFORNIA AVENUE,PITTSBURGH,40.4779971,-80.0408743
35248026,SAINT FRANCIS OF ASSISI HARMER AND INDIANOLA,faith-based_facilities,2781.0,2599 FREEPORT ROAD,PITTSBURGH,40.5362161,-79.8418301
35248027,SAINT ELIZABETH OF HUNGARY ROMAN CATHOLIC CHURCH,faith-based_facilities,2783.0,1 GROVE PLACE,PITTSBURGH,40.3451226,-79.9704212
35248028,SAINT EDWARD CHURCH,faith-based_facilities,2938.0,450 WALNUT STREET,BLAWNOX,40.4959304,-79.8587537
35248029,SAINT CYRIL OF ALEXANDRIA CHURCH,faith-based_facilities,2840.0,3854 BRIGHTON ROAD,PITTSBURGH,40.4856007,-80.0359323
35248030,SAINT CHARLES LWANGA CHURCH,faith-based_facilities,2803.0,7705 BENNETT STREET,PITTSBURGH,40.4547104,-79.8881045
35248031,SAINT CANICE AND SAINT JOHN VIANNEY,faith-based_facilities,2814.0,222 ORCHARD PLACE,PITTSBURGH,40.4178803,-79.991471
35248032,SAINT BERNARD CHURCH,faith-based_facilities,2904.0,311 WASHINGTON ROAD,PITTSBURGH,40.3864845,-80.0432284
35248033,SAINT BASIL CATHOLIC CHURCH,faith-based_facilities,2823.0,1735 BROWNSVILLE ROAD,PITTSBURGH,40.3976748,-79.9877318
35248034,Our Lady of Perpetual Help Church /of Our Lady of the MBS Parish,faith-based_facilities,88828.0,,,40.6134758,-79.7316055
35248035,New Life Church Of God,faith-based_facilities,542.0,1120 Greenfield Avenue,Pittsburgh,40.420996,-79.929844
35248036,Mt Pisgah Presbyterian Church,faith-based_facilities,813.0,31 Warriors Rd,Pittsburgh,40.4257198,-80.0462063
35248037,JULIA JACKSON aka Apple Avenue,affordable_housing,2195.0,7050 Apple Ave,Pittsburgh,40.4642290028,-79.8971804213
35248038,JOHN PAUL PLAZA,affordable_housing,2194.0,1005 Herron Ave,Pittsburgh,40.457214,-79.964964
35248039,SHAARE TORAH CONGREGATION,faith-based_facilities,2874.0,2319 MURRAY AVENUE,PITTSBURGH,40.4311497,-79.9229198
35248040,SAINTS SIMON AND JUDE CHURCH,faith-based_facilities,2992.0,1607 GREENTREE ROAD,PITTSBURGH,40.4008056,-80.0625275
35248041,SAINT THOMAS MORE ROMAN CATHOLIC CHURCH,faith-based_facilities,2835.0,126 FORT COUCH ROAD,PITTSBURGH,40.3424853,-80.0520913
35248042,SAINT TERESA OF AVILA CHURCH,faith-based_facilities,2971.0,1000 AVILA COURT,PITTSBURGH,40.5390213,-80.0397142
35248043,SAINT STEPHENS EPISCOPAL CHURCH,faith-based_facilities,2771.0,600 PITT STREET,PITTSBURGH,40.441802,-79.8885249
35248044,SAINT STANISLAUS KOSTKA,faith-based_facilities,3019.0,21ST STREET AND SMALLMAN STREET,PITTSBURGH,40.4523056,-79.9834541
35248045,SAINT SEBASTIAN CHURCH,faith-based_facilities,2966.0,311 SIEBERT ROAD,PITTSBURGH,40.5298623,-80.0115544
35248046,SAINT SCHOLASTICA CATHOLIC CHURCH,faith-based_facilities,2805.0,309 BRILLIANT AVENUE,PITTSBURGH,40.491754,-79.9009863
35248047,SAINT ROSALIA PARISH (GREENFIELD),faith-based_facilities,2799.0,411 GREENFIELD AVENUE,PITTSBURGH,40.4257132,-79.9444866
35248048,SAINT RICHARD CHURCH,faith-based_facilities,2973.0,3841 DICKEY ROAD,GIBSONIA,40.6341849,-79.9661956
35248049,SAINT REGIS PARISH,faith-based_facilities,2802.0,3250 PARKVIEW AVENUE,PITTSBURGH,40.4310367,-79.9527309
35248050,SAINT PIUS X ROMAN CATHOLIC CHURCH,faith-based_facilities,2743.0,3040 PIONEER AVENUE,PITTSBURGH,40.3951229,-80.0291836
35248051,SAINT PIUS X BYZANTINE CATHOLIC CHURCH,faith-based_facilities,2969.0,2336 BROWNSVILLE ROAD,PITTSBURGH,40.3881093,-79.985099
35248052,SAINT PHILLIPS ROMAN CATHOLIC CHURCH,faith-based_facilities,2979.0,50 WEST CRAFTON AVENUE,PITTSBURGH,40.4368875,-80.0685097
35248053,SAINT PETERS EPISCOPAL CHURCH,faith-based_facilities,2948.0,4048 BROWNSVILLE ROAD,PITTSBURGH,40.3669628,-79.9810711
35248054,SAINT PETER PARISH,faith-based_facilities,3018.0,720 ARCH STREET,PITTSBURGH,40.4524751,-80.008476
35248055,SAINT PAULS EPISCOPAL CHURCH,faith-based_facilities,2982.0,1066 WASHINGTON ROAD,MOUNT LEBANON,40.3709191,-80.0500315
35248056,SAINT PAUL CATHEDRAL,faith-based_facilities,2779.0,5TH AVENUE AND NORTH CRAIG STREET,PITTSBURGH,40.4474748,-79.9498289
35248057,SAINT PAUL AFRICAN METHODIST EPISCOPAL ZION CHURCH,faith-based_facilities,2953.0,216 MANSFIELD BOULEVARD,CARNEGIE,40.4092843,-80.0853842
35248058,SAINT PAUL AFRICAN METHODIST EPISCOPAL ZION CHURCH,faith-based_facilities,2960.0,601 FIFTH AVENUE,CORAOPOLIS,40.5212663,-80.1734763
35248059,SAINT PAUL AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,2794.0,1350 LOCUST STREET,MCKEESPORT,40.3416734,-79.8604674
35248060,SAINT PAUL AFRICAN METHODIST EPISCOPAL CHURCH,faith-based_facilities,2967.0,400 ORCHARD PLACE,PITTSBURGH,40.417674,-79.9953825
35248061,SAINT PATRICK CHURCH,faith-based_facilities,3020.0,1711 LIBERTY AVENUE,PITTSBURGH,40.4496121,-79.9851287
35248062,SAINT PAMPHILUS CHURCH,faith-based_facilities,2827.0,1000 TROPICAL AVENUE,PITTSBURGH,40.419124,-80.0256872
35248063,SAINT NORBERT CHURCH,faith-based_facilities,2972.0,2413 SAINT NORBERT STREET,PITTSBURGH,40.3824701,-79.9943133
35248064,SAINT NICHOLAS CROATIAN CATHOLIC CHURCH,faith-based_facilities,2829.0,24 MARYLAND AVENUE,PITTSBURGH,40.4770928,-79.9697944
35248065,SAINT MAURICE CHURCH,faith-based_facilities,2983.0,2001 ARDMORE BOULEVARD,PITTSBURGH,40.4212618,-79.8512719
35248066,SAINT MATTHEWS AFRICAN METHODIST EPISCOPAL ZION CHURCH,faith-based_facilities,2964.0,345 THORN STREET,SEWICKLEY,40.5403484,-80.1828772
35248067,SAINT MATTHEW PARISH (LAWRENCEVILLE),faith-based_facilities,2809.0,5322 CARNEGIE STREET SAINT KIERAN,PITTSBURGH,40.4816351,-79.9513593
35248068,SAINT MARY OF THE MOUNT CHURCH,faith-based_facilities,2949.0,403 GRANDVIEW AVENUE,PITTSBURGH,40.4343561,-80.0117667
35248069,SAINT MARY OF THE ASSUMPTION CHURCH,faith-based_facilities,2977.0,2510 MIDDLE ROAD,GLENSHAW,40.5545044,-79.9319051
35248070,SAINT MARY OF MERCY CHURCH,faith-based_facilities,2945.0,202 STANWIX STREET,PITTSBURGH,40.4397895,-80.0046263
35248071,SAINT MARY ASSUMPTION,faith-based_facilities,2812.0,215 57TH STREET,PITTSBURGH,40.4841371,-79.9446004
35248072,SAINT MARTINS CHURCH,faith-based_facilities,2898.0,1030 LOGUE STREET,PITTSBURGH,40.4438486,-80.0517442
35248073,INDEPENDENT HOUSING RESOURCES,affordable_housing,2193.0,606 Swissvale Ave,Pittsburgh,40.4385509348,-79.8793166437
35248074,Saint Catherine of Siena,faith-based_facilities,88862.0,,,40.5560989,-80.2310028
35248075,Saint Camillus,faith-based_facilities,88861.0,,,41.0271416,-80.3557205
35248076,Saint Boniface Church /of Holy Wisdom Parish,faith-based_facilities,88860.0,,,40.4669533,-80.0002136
35248077,Saint Bonaventure,faith-based_facilities,88859.0,,,40.5331192,-79.9687195
35248078,Saint Blaise,faith-based_facilities,88858.0,,,40.638279,-80.4512863
35248079,Saint Bernard ,faith-based_facilities,88857.0,,,40.3862801,-80.0432129
35248080,Saint Bernadette,faith-based_facilities,88856.0,,,40.4412727,-79.7719421
35248081,Saint Bartholomew (Penn Hills),faith-based_facilities,88854.0,,,40.4652023,-79.839859
35248082,Shop N Save Village,wic_vendors,2326.0,1886 Homeville Road,Duquesne Village,40.3650411176789,-79.8713063387846
35248083,Saint Barbara,faith-based_facilities,88853.0,,,40.3712769,-80.114769
35248084,Saint Anthony Chapel /of Most Holy Name of Jesus Parish,faith-based_facilities,88852.0,,,40.4648247,-79.9835739
35248085,Saint Anne,faith-based_facilities,88851.0,,,40.3657341,-80.0336456
35248086,Saint Ann,faith-based_facilities,88850.0,,,39.8962555,-80.1836395
35248087,Saint Ann,faith-based_facilities,88849.0,,,40.3766899,-80.3245544
35248088,Saint Andrew ,faith-based_facilities,88848.0,,,40.9037323,-79.9184494
35248089,Saint Alphonsus,faith-based_facilities,88847.0,,,40.3680153,-80.2369537
35248090,Saint Alphonsus,faith-based_facilities,88846.0,,,40.5410805,-79.7801743
35248091,Saint Alphonsus,faith-based_facilities,88845.0,,,40.6275177,-80.0565796
35248092,Saint Aloysius ,faith-based_facilities,88844.0,,,40.4898796,-79.9920502
35248093,Saint Alexis,faith-based_facilities,88843.0,,,40.5956535,-80.0441437
35248094,Sacred Heart Parish,faith-based_facilities,826.0,310 Shady Ave,Pittsburgh,40.456276,-79.923163
35248095,Sacred Heart Church /of Our Lady of Consolation Parish,faith-based_facilities,88841.0,,,39.9415359,-79.9923859
35248096,Sacred Heart Church /of Immaculate Conception Parish,faith-based_facilities,88840.0,,,40.1160583,-80.4156265
35248097,Sacred Heart Church /of Good Shepherd Parish,faith-based_facilities,88839.0,,,40.4112968,-79.8514328
35248098,Sacred Heart (Shadyside),faith-based_facilities,88838.0,,,40.4557648,-79.9232483
35248099,Sacred Heart,faith-based_facilities,88837.0,,,40.5108376,-80.097847
35248100,STILLPOINT ZEN COMMUNITY OF PITTSBURGH,faith-based_facilities,2758.0,137 41ST STREET,PITTSBURGH,40.4710393,-79.9632174
35248101,SRI VENKATESWARA TEMPLE,faith-based_facilities,2848.0,1230 SOUTH MCCULLY DRIVE,PENN HILLS,40.4410288,-79.8050394
35248102,SRI SHIRDI SAI BABA TEMPLE,faith-based_facilities,2942.0,1449 ABERS CREEK ROAD,MONROEVILLE,40.4234628,-79.7260359
35248103,SOUTH PARK BAPTIST CHURCH,faith-based_facilities,2854.0,7189 BAPTIST ROAD,BETHEL PARK,40.3346389,-80.0193502
35248104,SOUTH HILLS COMMUNITY BAPTIST CHURCH,faith-based_facilities,2998.0,2400 OLD WASHINGTON ROAD,UPPER SAINT CLAIR,40.3237555,-80.0829103
35248105,SOUTH HILLS BAPTIST CHURCH,faith-based_facilities,2756.0,200 CHALFONT STREET,PITTSBURGH,40.4164216,-80.0037701
35248106,SIXTH MOUNT ZION BAPTIST CHURCH,faith-based_facilities,2789.0,6556 SHETLAND AVENUE,PITTSBURGH,40.461828,-79.9083098
35248107,SHILOH COMMUNITY MISSIONARY BAPTIST CHURCH,faith-based_facilities,2764.0,6940 FRANKSTOWN AVENUE,PITTSBURGH,40.4583359,-79.901793
35248108,HULTON ARBORS,affordable_housing,2128.0,815 Arbor Ln,Verona,40.51350748,-79.8053518933
35248109,HONUS-WAGNER APTS,affordable_housing,2058.0,1 3rd Ave,Carnegie,40.405365,-80.088363
35248110,HOMEWOOD SENIOR APARTMENTS aka Homewood Station,affordable_housing,2192.0,7202 Susquehanna St,Pittsburgh,40.4535345931,-79.8979484018
